adabru/eyeput	0	Eye tracking input method.
adam-coster/adam-coster-talon	0	Talon Voice commands extending `knausj_talon`
alexander-clarke/alex_talon	1	Personal scripts for talon
AndreasArvidsson/andreas-talon	90	User scripts for Talon Voice
AndreasArvidsson/andreas-talon-vscode	13	VSCode extension used by Talon Voice
AndreasArvidsson/talon-deck	10	Interactive dashboard for Talon Voice
AndrewDant/andrew_talon	0	My personal fork of https://github.com/talonhub/community
AndrewDant/screen-spots	26	Save a set of screen locations to later click on or move to using talon voice
Antman261/talon-matrix-mouse	3	Click anywhere by speaking three words
auscompgeek/davo-talon	0	My custom Talon user files, existing alongside talonhub/community
autosquash/talon-configs	1	Some configuration files to be used with Talon Voice.
BlueDrink9/bluedrink9-talon	1	
BlueDrink9/bspwm-talon	0	Talon voice command set for BSPWM window manager
BlueDrink9/homophoner-talon	1	Resolve homophones on the fly for talon voice
bluprince13/bluprince13_talon	0	
bluprince13/bluprince13_talon_user	0	
brollin/brollin_talon_public	3	My (public) Talon commands
brollin/speak-the-spire-talon	3	Voice commands for the Speak the Spire mod
brollin/talon_umbrella	2	Umbrella repo containing all of my Talon Voice code
C-Loftus/colton_talon	5	 Supplementary scripts to Talon Community (Knausj)
C-Loftus/sight-free-talon	21	Integrate Talon voice dictation commands with TTS, screen readers, braille, and more!
C-Loftus/talon-ai-tools	85	Query LLMs and AI tools with voice commands
C-Loftus/Watercolor	8	Color Linux a11y elements for mouse-free interaction!
CodesAway/TAIPCodesAway	1	Talon Automated Installation Platform
CodesAway/TalonVoiceCodesAway	0	Talon voice file set which extends community
cursorless-dev/cursorless	1295	Don't let the cursor slow you down
DarinM223/talon_mgba_http_controller	0	Control mGBA games with Talon Voice
diabeatz96/Talon-Game-Scripts	1	Open repository of Talon scripts for games supporting accessibility
FireChickenProductivity/BAR	3	The Basic Action Recorder can be used to record basic talon voice actions and output the corresponding talonscript code for them.
FireChickenProductivity/FireChickenKnausjEssentials	1	Highly minimalistic version of the knausj talon configuration.
FireChickenProductivity/GoogleSheetsTalonCommands	3	Provides talon voice commands for working with google sheets. These have only been tested on windows.
